Designator,Mid X,Mid Y,Rotation,Layer
C201,-20.61,-34.23,180.0,top
C202,-25.56,-36.155,90.0,top
C203,-24.6,-39.43,0.0,top
C204,-24.375,-31.72,0.0,top
C205,-24.365,-29.04,0.0,top
C206,-19.525,-40.2,180.0,top
C207,-23.71,-43.19,270.0,top
C208,23.71,-43.19,270.0,top
C209,-19.525,-41.27,180.0,top
C210,20.61,-34.23,0.0,top
C211,25.56,-36.155,270.0,top
C212,24.6,-39.43,180.0,top
C213,24.365,-29.04,180.0,top
C214,24.375,-31.72,180.0,top
C215,19.525,-41.5,0.0,top
C216,19.525,-40.2,0.0,top
C301,-26.45,28.37,0.0,top
C302,5.24,46.65,90.0,top
C303,6.28,46.65,90.0,top
C304,-4.32,38.27,180.0,top
C305,-4.31,37.26,180.0,top
C306,3.08,51.5,0.0,top
C307,3.08,48.5,0.0,top
C308,0.79,48.5,180.0,top
C309,0.79,51.5,180.0,top
C310,-1.07,51.05,270.0,top
C311,-2.47,51.025,270.0,top
C312,-4.09,28.9,0.0,top
C313,6.3,41.72,90.0,top
C314,6.3,43.63,270.0,top
C315,-5.21,44.08,90.0,top
C316,4.81,40.77,90.0,top
C317,-9.0,39.85,180.0,top
C318,-12.37,-42.75,180.0,top
C319,-12.685,-44.09,0.0,top
C401,-1.58,-31.14,270.0,top
C402,-0.57,-32.13,270.0,top
C403,5.46,-39.24,180.0,top
C404,1.2575,-43.86,90.0,top
C405,-5.58,-39.26,0.0,top
C406,-4.55,-34.62,270.0,top
C407,-0.13,-30.68,0.0,top
C408,5.52,-32.78,270.0,top
C409,5.2,-35.16,270.0,top
C410,12.37,-42.18,0.0,top
C411,12.685,-43.816584,180.0,top
C412,3.13,-32.12,270.0,top
C413,4.15,-32.78,270.0,top
C414,-5.17,-45.87,270.0,top
C415,0.22,-46.03,270.0,top
C416,5.57,-24.24,270.0,top
C417,0.0,-56.41,0.0,top
C501,10.65,22.97,180.0,top
C502,11.205,21.58,180.0,top
C503,49.54,-14.38,0.0,top
C504,50.125,-13.06,0.0,top
C505,45.07,8.53,90.0,top
C506,46.47,9.525,90.0,top
C601,13.55,-7.86,90.0,top
C602,12.21,-7.315,90.0,top
C603,-16.84,-8.21,90.0,top
C604,-18.36,-7.665,90.0,top
C701,-39.87,-21.59,270.0,top
C702,-41.61,-22.16,270.0,top
C703,-34.53,16.13,0.0,top
C704,-34.23,14.78,0.0,top
C801,0.5,-4.2,270.0,top
C802,2.5,-4.2,270.0,top
C803,4.5,-4.2,270.0,top
C804,6.5,-4.2,270.0,top
C805,8.5,-4.2,270.0,top
C806,10.5,-4.2,270.0,top
C807,12.5,-4.2,270.0,top
C808,14.5,-4.2,270.0,top
C809,16.5,-4.2,270.0,top
C810,18.5,-4.2,270.0,top
C811,20.5,-4.2,270.0,top
C812,22.5,-4.2,270.0,top
C813,24.5,-4.2,270.0,top
C814,26.5,-4.2,270.0,top
C815,28.5,-4.2,270.0,top
C816,30.5,-4.2,270.0,top
C817,32.5,-4.2,270.0,top
C818,34.5,-4.2,270.0,top
C819,36.5,-4.2,270.0,top
C820,38.5,-4.2,270.0,top
C821,40.5,-4.2,270.0,top
C822,42.5,-4.2,270.0,top
C823,44.5,-4.2,270.0,top
C824,46.5,-4.2,270.0,top
C825,48.5,-4.2,270.0,top
C826,50.5,-4.2,270.0,top
C827,52.5,-4.2,270.0,top
C828,54.5,-4.2,270.0,top
C901,-1.5,4.2,90.0,top
C902,-3.5,4.2,90.0,top
C903,-5.5,4.2,90.0,top
C904,-7.5,4.2,90.0,top
C905,-9.5,4.2,90.0,top
C906,-11.5,4.2,90.0,top
C907,-13.5,4.2,90.0,top
C908,-15.5,4.2,90.0,top
C909,-17.5,4.2,90.0,top
C910,-19.5,4.2,90.0,top
C911,-21.5,4.2,90.0,top
C912,-23.5,4.2,90.0,top
C913,-25.5,4.2,90.0,top
C914,-27.5,4.2,90.0,top
C915,-29.5,4.2,90.0,top
C916,-31.5,4.2,90.0,top
C917,-33.5,4.2,90.0,top
C918,-35.5,4.2,90.0,top
C919,-37.5,4.2,90.0,top
C920,-39.5,4.2,90.0,top
C921,-41.5,4.2,90.0,top
C922,-43.5,4.2,90.0,top
C923,-45.5,4.2,90.0,top
C924,-47.5,4.2,90.0,top
C925,-49.5,4.2,90.0,top
C926,-51.5,4.2,90.0,top
C927,-53.5,4.2,90.0,top
C928,-55.5,4.2,90.0,top
D201,28.43,-40.93,0.0,top
D202,-28.43,-40.93,180.0,top
D203,28.44,-43.75,180.0,top
D204,-28.44,-43.75,0.0,top
D801,0.5,0.0,90.0,top
D802,2.5,0.0,90.0,top
D803,4.5,0.0,90.0,top
D804,6.5,0.0,90.0,top
D805,8.5,0.0,90.0,top
D806,10.5,0.0,90.0,top
D807,12.5,0.0,90.0,top
D808,14.5,0.0,90.0,top
D809,16.5,0.0,90.0,top
D810,18.5,0.0,90.0,top
D811,20.5,0.0,90.0,top
D812,22.5,0.0,90.0,top
D813,24.5,0.0,90.0,top
D814,26.5,0.0,90.0,top
D815,28.5,0.0,90.0,top
D816,30.5,0.0,90.0,top
D817,32.5,0.0,90.0,top
D818,34.5,0.0,90.0,top
D819,36.5,0.0,90.0,top
D820,38.5,0.0,90.0,top
D821,40.5,0.0,90.0,top
D822,42.5,0.0,90.0,top
D823,44.5,0.0,90.0,top
D824,46.5,0.0,90.0,top
D825,48.5,0.0,90.0,top
D826,50.5,0.0,90.0,top
D827,52.5,0.0,90.0,top
D828,54.5,0.0,90.0,top
D901,-1.5,0.0,270.0,top
D902,-3.5,0.0,270.0,top
D903,-5.5,0.0,270.0,top
D904,-7.5,0.0,270.0,top
D905,-9.5,0.0,270.0,top
D906,-11.5,0.0,270.0,top
D907,-13.5,0.0,270.0,top
D908,-15.5,0.0,270.0,top
D909,-17.5,0.0,270.0,top
D910,-19.5,0.0,270.0,top
D911,-21.5,0.0,270.0,top
D912,-23.5,0.0,270.0,top
D913,-25.5,0.0,270.0,top
D914,-27.5,0.0,270.0,top
D915,-29.5,0.0,270.0,top
D916,-31.5,0.0,270.0,top
D917,-33.5,0.0,270.0,top
D918,-35.5,0.0,270.0,top
D919,-37.5,0.0,270.0,top
D920,-39.5,0.0,270.0,top
D921,-41.5,0.0,270.0,top
D922,-43.5,0.0,270.0,top
D923,-45.5,0.0,270.0,top
D924,-47.5,0.0,270.0,top
D925,-49.5,0.0,270.0,top
D926,-51.5,0.0,270.0,top
D927,-53.5,0.0,270.0,top
D928,-55.5,0.0,270.0,top
J301,-25.156,34.24,225.0,top
J302,-8.25,-54.795,0.0,top
J401,8.25,-54.795,0.0,top
L201,-30.92,-34.98,90.0,top
L202,0.0,0.0,0.0,top
L203,30.92,-34.98,90.0,top
L301,2.6,50.0,270.0,top
L302,1.27,50.0,90.0,top
R201,-18.44,-37.39,90.0,top
R202,-19.525,-39.17,0.0,top
R203,-22.105,-39.43,0.0,top
R204,18.44,-37.39,270.0,top
R205,19.525,-39.17,180.0,top
R206,22.105,-39.43,180.0,top
R301,-23.57,31.44,180.0,top
R302,5.76,45.14,180.0,top
R303,1.45,28.85,180.0,top
R304,-9.0,40.94,0.0,top
R305,-2.56,37.19,90.0,top
R306,-1.54,37.19,90.0,top
R307,-0.1,37.2,90.0,top
R308,0.93,37.21,90.0,top
R309,1.95,37.21,90.0,top
R310,4.81,42.89,270.0,top
R311,-9.19,-49.01,90.0,top
R312,-6.86,-49.31,0.0,top
R401,7.14,-49.0,90.0,top
R402,9.19,-49.01,90.0,top
R403,7.02,-35.13,270.0,top
R404,1.12,-32.12,270.0,top
R405,2.13,-32.12,270.0,top
R406,0.23,-43.86,90.0,top
R407,-3.57,-23.73,0.0,top
R408,-1.2,-23.72,0.0,top
R409,-0.51,-50.75,0.0,top
R501,14.9,8.76,0.0,top
R502,13.37,8.06,270.0,top
R503,49.54,-15.43,0.0,top
R504,12.28,8.07,270.0,top
R505,49.54,-16.5,0.0,top
R506,11.21,8.07,270.0,top
R507,49.54,-17.56,0.0,top
R508,13.75,22.14,0.0,top
R509,39.22,7.88,270.0,top
R510,37.58,8.6,180.0,top
R511,37.59,9.68,180.0,top
R601,15.53,-9.21,180.0,top
R602,-14.17,-8.15,90.0,top
R603,15.54,-8.15,180.0,top
R604,-13.04,-8.15,90.0,top
R605,17.91,-9.16,0.0,top
R606,-11.93,-8.15,90.0,top
R701,-49.02,16.32,180.0,top
R702,-41.55,-9.06,180.0,top
R703,-49.01,17.43,180.0,top
R704,-38.77,-7.86,0.0,top
R705,-47.85,18.98,0.0,top
R706,-38.77,-8.98,0.0,top
SW301,9.0,33.0,90.0,top
SW302,-9.0,33.0,270.0,top
SW401,12.0,-30.0,270.0,top
SW402,-12.0,-30.0,90.0,top
U201,-21.7475,-36.63,0.0,top
U202,21.7475,-36.63,180.0,top
U301,0.0,54.0,0.0,top
U302,0.0,43.0,270.0,top
U303,0.0,32.31,180.0,top
U304,-11.86,-46.68,180.0,top
U401,11.86,-46.68,0.0,top
U402,0.1025,-38.25,0.0,top
U403,0.0,-53.5,90.0,top
U404,0.0,-27.26,0.0,top
U501,15.0,15.0,270.0,top
U502,42.0,-15.0,0.0,top
U503,42.0,15.0,270.0,top
U601,15.0,-15.0,90.0,top
U602,-15.0,-15.0,90.0,top
U701,-42.0,15.0,180.0,top
U702,-42.0,-15.0,90.0,top
Y301,8.64,42.7,270.0,top
Y401,-2.49,-45.77,0.0,top
